partName,partPrice,inStock,partRating,partReviews,PSNumber,MPNumber,partDescription,partSymptoms,partReplaces,partInstallation,partCompatible
"Dishwasher Upper Rack Adjuster Kit - White Wheels, Left and Right Sides",47.79,True,4.7,609,PS10065979,W10712395,"This authentic Dishwasher Upper Rack Adjuster Kit with white wheels is a kit made up of primarily plastic and metal components, which will require a screwdriver to install. This kit comes with all the necessary parts for a dishwasher rack adjuster.  It fits onto the dishwasher rack and connects it to the track allowing it to slide in and out. If broken then the rack will no longer slide properly, and the part must be replaced. In many cases, our customers have reported the top rack of their dishwasher hanging down or sagging due to the adjuster kit, particularly if the wheels, have broken or failed. If you are having problems in this area, this kit will help get your dishwasher back up and running. Check your model number and user manual to see if this part is right for you. The parts for this kit come as a package and are not generally sold individually.","door won't close, door latch failure, not cleaning dishes properly, noisy","AP5957560, W10250159, W10350375, W10712395VP",https://www.youtube.com/watch?v=pZO1rcMwKBc,"2213222N414, 2213223N414, 2213229N414, 2214523N611, 2214545N711, 66512762K312, 66512763K312, 66512763K313, 66512769K312, 66512769K313, 66512772K312, 66512772K313, 66512772K314, 66512773K313, 66512773K314, 66512774K312, 66512774K313, 66512776K312, 66512776K314, 66512779K312, 66512779K313, 66512779K314, 66512813K313, 66513202N410, 66513202N411, 66513202N413, 66513203N410, 66513203N411, 66513203N413, 66513204N410"
Dishwasher Rack Track Stop,7.7,True,4.6,118,PS11746591,WP8565925,"The rack track stop on your dishwasher is designed to stop the dish rack at the appropriate place when opening and closing the rack. If your dishwasher is not cleaning your dishes properly, the rack stop may need to be replaced. The replacement part may differ slightly from the broken part, depending on the model. However, the different styles are interchangeable. This product is sold individually and comes in both a white and grey plastic version. Many of our customers found this repair to be very easy and takes less than 30 minutes to complete. Simply snap the old part out and snap the new part into place. You will not require any tools to complete the job. This is an authentic part approved by the manufacturer.","door latch failure, not cleaning dishes properly, door won't close","AP6013365, 8270105, 8270106, 8524581, 8524582, 8562015, 8565920, 8565925, W10082860, W10082861, W10199682, W10508950, WP8565925VP, WPW10082861, WPW10082861VP, WPW10508950, WPW10508950VP",https://www.youtube.com/watch?v=siE-8HethWg,"110723120, 2212413N414, 2213092N413, 2213099N413, 2213222N414, 2213223N414, 2213229N414, 2213479N413, 2213802N710, 2213804N710, 2213809N710, 2214523N611, 2214545N711, 2217383N710, 2217389N710, 66213032K112, 665110739120, 665110739130, 665110739140, 665110739190, 66512093K210, 66512413N410, 66512413N411, 66512413N412, 66512413N413, 66512723K310, 66512723K311, 66512762K312, 66512763K312, 66512763K313"
Dishwasher Upper Rack Adjuster,43.81,True,4.75,121,PS11756150,WPW10546503,"This OEM Dishwasher Upper Rack Adjuster is a grayish-black, plastic part which will require a screwdriver to install.  It fits onto the dishwasher rack and connects it to the track allowing it to slide in and out. If broken then the rack will no longer slide properly, and the part must be replaced. The installation has been rated as ""easy"" by customers. Before beginning any repair, you should unplug the dishwasher and wear gloves to protect your hands. Check your model number and user manual to see if this part is right for you! Your dishwasher should have a left and right upper rack adjuster, and both are the same part. These parts are sold individually, so if you are looking to replace both, you will need to order two parts.","door won't close, door latch failure, not cleaning dishes properly, leaking","AP6022813, W10306646, W10418314, W10546502, W10546503, W10911100, WPW10546503VP",https://www.youtube.com/watch?v=d6AvOkulk_g,"2214715N710, 2214792N512, 2214793N512, 66512782K310, 66512782K312, 66512782K313, 66512783K311, 66512783K312, 66512783K313, 66512789K311, 66512789K312, 66512789K313, 66514712N710, 66514713N710, 66514763N510, 66514769N510, 66514792N510, 66514792N512, 66514793N510, 66514793N511, 66514793N512, 66514799N510, 66514799N511, 66514812N611, 66514812N612, 66514813N610, 66514813N611, 66514815N612, 66514815N613, 66514819N610"
Dishwasher Dish Rack Adjuster Kit - Left and Right Side,46.62,True,4.6,1022,PS10064063,W10712394,"This rack adjuster kit (Dishrack Adjuster Kit, Adjuster Kit, Dishwasher Rack Adjuster) will adjust the height of the upper rack of your dishwasher. It connects to the dishrack.  The kit is constructed of grey plastic and metal, and measures approximately 12 inches wide and 6.5 inches tall. The rack adjuster can break from material fatigue or prolonged high temperature exposure. High temperature exposure can compromise the integrity of the materials. If the rack adjuster breaks, your upper rack may fall down, may be unlevel, or the door may not close. This kit includes the parts to replace the left and right-side rack adjusters and has been upgraded to a more durable metal design (2 adjuster assemblies, 1 left hand and 1 right hand actuator cover, 2 gray adjuster covers, and 2 gray adjuster housings)","door won't close, not cleaning dishes properly, door latch failure, leaking","AP5956100, W10238418, W10253546, W10350376, W10712394VP, WPW10350376",https://www.youtube.com/watch?v=9bsgL4OExLo,"66213042K112, 66213043K112, 66213044K112, 66213049K112, 66213282K112, 66213283K112, 66213289K112, 66213292K112, 66213293K112, 66213299K112, 66512776K310, 66512813K312, 66513042K110, 66513042K111, 66513042K112, 66513042K113, 66513042K114, 66513042K115, 66513042K116, 66513043K110, 66513043K111, 66513043K112, 66513043K113, 66513043K114, 66513043K115, 66513043K116, 66513044K110, 66513044K111, 66513044K112, 66513044K113"
Dishwasher Rack Stop Clip,8.1,True,4.6,79,PS11750071,WPW10195622,"This manufacturer-approved Rack Stop Clip is a gray plastic part which can be installed with a screwdriver. Measuring slightly over an inch in length, it prevents the rack from sliding too far and falling off. If broken or damaged, then the rack will slide too far and this is a sign the part should be replaced. It attaches to the end of the top dishwasher rack. This clip can be used for the left or right side, and is sold individually. It is a good idea to replace both sides at once. To make this repair, start by pulling out the rack, then, using your screwdriver, reach in behind the rack stops and press the clips in. You should be able to remove the stops from the track from here. Next, you should be able to slide the track back over the rollers and snap the new track stop into place.","door won't close, door latch failure, not cleaning dishes properly","AP6016778, W10195622, WPW10195622VP",https://www.youtube.com/watch?v=Z-etBPckwcA,"66213293K112, 66513042K110, 66513042K111, 66513042K112, 66513042K113, 66513042K114, 66513042K115, 66513042K116, 66513043K110, 66513043K111, 66513043K112, 66513043K113, 66513043K114, 66513043K115, 66513043K116, 66513044K110, 66513044K111, 66513044K112, 66513044K113, 66513044K114, 66513044K115, 66513044K116, 66513049K110, 66513049K111, 66513049K112, 66513049K113, 66513049K114, 66513049K115, 66513049K116, 66513252K110"
Dishwasher Tine Pivot,10.67,True,5.0,28,PS11748190,WPW10082853,"The tine pivot clip, also known as the tine row pivot, is used in dishwashers and is located in the upper dishrack. At around 3 inches in length, the clip is used to keep the tine row in place in the dishrack. If your clip is cracked or damaged, it is best to replace this part. To repair, first lift the release tab and hold the other side to prevent it from falling off. After lifting it off, you can set the new clip on the tine row and lock it up. Refer to the manual provided by the manufacturer for further installation instructions and guidance. Remember to wear work gloves as a safety precaution. This repair was rated as very easy by our customers and should be done in 15 minutes or less.",not cleaning dishes properly,"AP6014920, W10082853, WPW10082853VP",https://www.youtube.com/watch?v=I-Koizat7Os,"2214715N710, 2214792N512, 2214793N512, 66512762K312, 66512763K312, 66512763K313, 66512769K312, 66512769K313, 66512772K312, 66512772K313, 66512772K314, 66512773K313, 66512773K314, 66512774K313, 66512776K312, 66512776K314, 66512779K312, 66512779K313, 66512779K314, 66512782K310, 66512782K312, 66512782K313, 66512783K311, 66512783K312, 66512783K313, 66512789K311, 66512789K312, 66512789K313, 66512793K312, 66512793K313"
Dishwasher Positioner,38.21,True,3.0,6,PS11750093,WPW10195840,"Also known as rack adjuster. Sold individually. 
This is an original part from KitchenAid, Kenmore, Whirlpool, Jenn-Air, and Maytag for use with Dishwashers. The dishrack adjuster arm positioner clip holds the adjuster arm in the right position on the dishrack. The most common reason for replacing the strap is if the rack will not stay in its desired position. This part is sold individually. There are no tools needed to replace the positioner.","door won't close, not cleaning dishes properly, door latch failure","AP6016800, W10195840, W10418323",https://www.youtube.com/watch?v=3no3S5XCunU,"2213222N414, 2213223N414, 2213229N414, 2214523N611, 2214545N711, 2214715N710, 2214792N512, 2214793N512, 66213293K112, 66512762K312, 66512763K312, 66512763K313, 66512769K312, 66512769K313, 66512772K312, 66512772K313, 66512772K314, 66512773K313, 66512773K314, 66512774K312, 66512774K313, 66512776K312, 66512776K314, 66512779K312, 66512779K313, 66512779K314, 66512782K310, 66512782K312, 66512782K313, 66512783K311"
Dishwasher Dish Rack Slide Track - Right Side,71.74,True,4.8,44,PS12584377,W11259786,"This dish rack slide rail is a genuine OEM replacement part that is compatible with various models of dishwasher. It is designed to fit on the right side of the dishwasher. The slide rail or track supports the upper dish rack and allows it to slide in and out of the dishwasher smoothly so that you can easily load and unload your dishes. It is made of stainless steel and can be found mounted to the side of the interior cavity of the dishwasher. If your dish rack is unstable and difficult to pull in and out, you will likely need to replace the slide rail. Mounting hardware is sold separately.","door won't close, door latch failure","W10311156, W10462358, W10752596, W10781305, W10811587, W10852729, W10914016, W10915186, W11048936, W11192638",https://www.youtube.com/watch?v=d6AvOkulk_g,"2214715N710, 66512782K310, 66512782K312, 66512782K313, 66512783K311, 66512783K312, 66512783K313, 66512789K311, 66512789K312, 66512789K313, 66512793K312, 66512793K313, 66512803K312, 66512833K311, 66512833K312, 66514712N710, 66514713N710, BLB14BRANA0, BLB14DRANA0, BLB14DRANA1, BLB14DRANA2, BLB14DRANA4, BLB14DRANA5, BLB14FRANA0, GLB14BBANA0, GLB14BBANA1, IDT930SAGX0, JDB8200AWP0, JDB8200AWP1, JDB8200AWP2"
Dishwasher Dish Rack Slide Track - Left Side,84.18,True,4.85,34,PS12584376,W11259785,"This is the dishrack slide track for the left side of various dishwashers. This track allows your upper dishrack to be supported and slide in and out of the dishwasher to place or remove dishes from the dishrack as necessary. If your left dishrack is currently broken or damaged, it needs to be replaced for your dishrack to be completely supported. Replacing this dishrack slide requires some disassembly of your dishwasher and will require a screwdriver to pull your dishwasher out from underneath your countertop, and remove the securing bolts from the slide track. This OEM dishrack slide track is sold individually and does not include the slide track for the right side of your dishwasher.","door won't close, door latch failure, noisy","AP6783992, W10311157, W10462359, W10752595, W10781301, W10811586, W10852728, W10914015, W10915185, W11048934, W11192640",https://www.youtube.com/watch?v=d6AvOkulk_g,"2214715N710, 66512782K310, 66512782K312, 66512782K313, 66512783K311, 66512783K312, 66512783K313, 66512789K311, 66512789K312, 66512789K313, 66512793K312, 66512793K313, 66512803K312, 66512833K311, 66512833K312, 66514712N710, 66514713N710, BLB14BRANA0, BLB14DRANA0, BLB14DRANA1, BLB14DRANA2, BLB14DRANA4, BLB14DRANA5, BLB14FRANA0, GLB14BBANA0, GLB14BBANA1, IDT930SAGX0, JDB8200AWP0, JDB8200AWP1, JDB8200AWP2"
Dishwasher RACK SLIDE END CAP,12.61,True,4.7,52,PS2370502,WD12X10304,"The Rack Slide End Cap is a white one-inch plastic part which replaces the end cap for your dishwasher rack, preventing your rack from sliding too far. If you find the dish rack is causing the door to not close properly, it may be due to the part being worn out or damaged. All you need to complete this repair is a small flat blade screw driver. Simply pop out the cap with a smaller flat-blade screwdriver and snap the new one into place. If the rear cap needs to be replaced you will need to remove both front caps and slide the rack completely off for full access. It is important to note that this part is sold individually, and more than one may be required, depending on your repair. An inexpensive part, it can be a good idea to purchase several at a time to have on-hand when needed.","not cleaning dishes properly, door won't close, door latch failure","AP4484666, 1556527, WD12X0344, WD12X10238, WD12X344, WD30X93, WD30X97",https://www.youtube.com/watch?v=M33hBsRtum8,"1200L02, 18385, 1858, 3000B10, 3000W10, 361402891, 3631401190, 3631401191, 3631401590, 3631401591, 3631401592, 3631401890, 3631401891, 3631401892, 3631402190, 3631402191, 3631402192, 3631402590, 3631402591, 3631402592, 3631402890, 3631402891, 3631402892, 36314031000, 36314031001, 36314032000, 36314032001, 36314038000, 36314038001, 36314039000"
